----...R---.R.RB--RRRRRB-B.RRBRB-RBBBB.--RBBB.---.B..---,R,B
----...R---..RRB--RRRRRB-B.RRBRB-RBBBB.--RBBB.---.B..---,B,B
----...R---..RRB--RRRRRB-B.RRBRB-RBBBB.--RBBB.---B...---,R,B
----...R---..RRB--RRRRRB-B.RRB.B-RBBBBR--RBBB.---B...---,B,B
----...R---..RRB--RRRRRB-BBRRB.B-R.BBBR--RBBB.---B...---,R,B
----...R---..RRB--RRRRRB-BBRRB.B-.RBBBR--RBBB.---B...---,B,B
----...R---..RRB--RRRRRB-BBRRBB.-.RBBBR--RBBB.---B...---,R,B
----RRRR---RRRR.--RRR...-RR...BB-...BBB--.BBBB---BBBB---,B,B
----RRRR---RRRR.--RRR..B-RR...B.-...BBB--.BBBB---BBBB---,R,B
----RRRR---RRRR.--RRR..B-.R...B.-R..BBB--.BBBB---BBBB---,B,B
----RRRR---RRRRB--RRR...-.R...B.-R..BBB--.BBBB---BBBB---,R,B
----RRRR---RR.RB--RRRR..-.R...B.-R..BBB--.BBBB---BBBB---,B,B
----RRRR---RR.RB--RRRR..-.R...B.-R.BBBB--.B.BB---BBBB---,R,B
----RRRR---RR.RB--R.RR..-.RR..B.-R.BBBB--.B.BB---BBBB---,B,B
----RRRR---RR.RB--R.RR..-.RR..B.-RB.BBB--.B.BB---BBBB---,R,B
----RRRR---RR.RB--R.RR..-.R...B.-RBRBBB--.B.BB---BBBB---,B,B
----RRRR---RR.RB--R.RR..-.R...B.-RBRBBB--BB.BB---.BBB---,R,B
----RR.R---RRRRB--R.RR..-.R...B.-RBRBBB--BB.BB---.BBB---,B,B
----RR.R---RRRRB--R.RR..-.R...B.-RBRBBB--BBB.B---.BBB---,R,B
----RR.R---RRRRB--R..R..-.RR..B.-RBRBBB--BBB.B---.BBB---,B,B
----RR.R---RRRRB--R..R..-.RR.BB.-RBRB.B--BBB.B---.BBB---,R,B
----RR.R---.RRRB--RR.R..-.RR.BB.-RBRB.B--BBB.B---.BBB---,B,B
----RR.R---.RRRB--RR.R..-.RR.BB.-RBRB.B--BBBB.---.BBB---,R,B
----RR.R---.RRRB--R.RR..-.RR.BB.-RBRB.B--BBBB.---.BBB---,B,B
----RR.R---.RRRB--R.RR.B-.RR.B..-RBRB.B--BBBB.---.BBB---,R,B
----RR.R---.RR.B--R.RRRB-.RR.B..-RBRB.B--BBBB.---.BBB---,B,B
----RR.R---.RR.B--R.RRRB-.RR.B..-RBRB.B--BBBBB---.BB.---,R,B
----RR..---.RRRB--R.RRRB-.RR.B..-RBRB.B--BBBBB---.BB.---,B,B
----RR..---.RRRB--R.RRRB-.RRBB..-RBR..B--BBBBB---.BB.---,R,B
----.R..---RRRRB--R.RRRB-.RRBB..-RBR..B--BBBBB---.BB.---,B,B
----.R..---RRRRB--R.RRRB-.RRBB..-RBRB.B--BB.BB---.BB.---,R,B
----.R..---RRRRB--..RRRB-RRRBB..-RBRB.B--BB.BB---.BB.---,B,B
----.R..---RRRRB--..RRRB-RRRBB.B-RBRB..--BB.BB---.BB.---,R,B
----.R..---.RRRB--.RRRRB-RRRBB.B-RBRB..--BB.BB---.BB.---,B,B
----.R..---.RRRB--.RRRRB-RRRBB.B-RBRBB.--BB.B.---.BB.---,R,B
----.R..---.RRRB--.RRRRB-RRRBB.B-RB.BB.--BBRB.---.BB.---,B,B
----.R..---.RRRB--.RRRRB-RRRBBBB-RB.B..--BBRB.---.BB.---,R,B
----.R..---.RRRB--.RRRRB-RR.BBBB-RBRB..--BBRB.---.BB.---,B,B
----.R..---.RRRB--.RRRRB-RR.BBBB-RBRBB.--BBR..---.BB.---,R,B
----.R..---.RRRB--.RRRRB-RR.BBBB-RBRBB.--BB.R.---.BB.---,B,B
----.R..---.RRRB--.RRRRB-RR.BBBB-RBRBB.--BBBR.---.B..---,R,B
----..R.---.RRRB--.RRRRB-RR.BBBB-RBRBB.--BBBR.---.B..---,B,B
----..R.---.RRRB--.RRRRB-RR.BBBB-RBRBB.--BBBR.---B...---,R,B
----..R.---.RRRB--.RRRRB-R.RBBBB-RBRBB.--BBBR.---B...---,B,B
----..RB---.RRR.--.RRRRB-R.RBBBB-RBRBB.--BBBR.---B...---,R,B
----..RB---.RR.R--.RRRRB-R.RBBBB-RBRBB.--BBBR.---B...---,B,B
----..RB---.RR.R--.RRRRB-RBRBBBB-R.RBB.--BBBR.---B...---,R,B
